title,link,text,clean_text,word_count,topic
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Mice in Bion-M 1 space mission: training and selection,Mice in Bion-M 1 space mission: training and selection,6,2
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21","Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",14,3
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Stem Cell Health and Tissue Regeneration in Microgravity,Stem Cell Health and Tissue Regeneration in Microgravity,6,-1
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,8,-1
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,17,1
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,11,2
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,11,4
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,12,5
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,9,3
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,11,4
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,10,-1
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,9,1
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,7,1
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,9,1
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Root growth movements: Waving and skewing.,Root growth movements: Waving and skewing.,5,1
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Root growth movements: Waving and skewing.,Root growth movements: Waving and skewing.,5,1
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,9,1
